EndUse,Run name,FuelType,0
Fans,b_a_2126_dg_init_int,Natural Gas,0
Fans,b_b_2126_dg0_int,Electricity,307.86
Fans,b_b_2126_dg0_int,Natural Gas,0
Fans,b_c_2126_sg1_int,Electricity,300.45
Fans,b_c_2126_sg1_int,Natural Gas,0
Fans,b_d_2126_sg2_int,Electricity,276.59
Fans,b_d_2126_sg2_int,Natural Gas,0
Fans,b_e_2126_dg1_int,Electricity,372.26
Fans,b_e_2126_dg1_int,Natural Gas,0
Fans,b_f_2126_dg2_int,Electricity,336.49
Fans,b_f_2126_dg2_int,Natural Gas,0
Fans,b_g_2126_dg3_int,Electricity,343.23
Fans,b_g_2126_dg3_int,Natural Gas,0
Fans,b_h_2126_dg4_int,Electricity,303.41
Fans,b_h_2126_dg4_int,Natural Gas,0
Fans,b_i_2126_dg5_int,Electricity,320.13
Fans,b_i_2126_dg5_int,Natural Gas,0
Fans,b_j_2126_dg6_int,Electricity,337.89
Fans,b_j_2126_dg6_int,Natural Gas,0
Fans,b_k_2126_tg1_int,Electricity,398.52
Fans,b_k_2126_tg1_int,Natural Gas,0
Fans,b_l_2126_tg2_int,Electricity,357.96
Fans,b_l_2126_tg2_int,Natural Gas,0
Fans,b_m_2126_tg3_int,Electricity,354.03
Fans,b_m_2126_tg3_int,Natural Gas,0
Fans,b_n_2126_tg4_int,Electricity,325.79
Fans,b_n_2126_tg4_int,Natural Gas,0
Fans,b_o_2126_tg5_int,Electricity,330.53
Fans,b_o_2126_tg5_int,Natural Gas,0
Fans,b_p_2126_tg6_int,Electricity,359.97
Fans,b_p_2126_tg6_int,Natural Gas,0
Fans,c_a_2126_dg_init_tc,Electricity,264.02
Fans,c_a_2126_dg_init_tc,Natural Gas,0
Fans,c_b_2126_dg0_tc,Electricity,282.98
Fans,c_b_2126_dg0_tc,Natural Gas,0
Fans,c_c_2126_sg1_tc,Electricity,278
Fans,c_c_2126_sg1_tc,Natural Gas,0
Fans,c_d_2126_sg2_tc,Electricity,257.28
Fans,c_d_2126_sg2_tc,Natural Gas,0
Fans,c_e_2126_dg1_tc,Electricity,340.51
Fans,c_e_2126_dg1_tc,Natural Gas,0
Fans,c_f_2126_dg2_tc,Electricity,309.48
Fans,c_f_2126_dg2_tc,Natural Gas,0
Fans,c_g_2126_dg3_tc,Electricity,315.66
Fans,c_g_2126_dg3_tc,Natural Gas,0
Fans,c_h_2126_dg4_tc,Electricity,285.72
Fans,c_h_2126_dg4_tc,Natural Gas,0
Fans,c_i_2126_dg5_tc,Electricity,297.55
Fans,c_i_2126_dg5_tc,Natural Gas,0
Fans,c_j_2126_dg6_tc,Electricity,311
Fans,c_j_2126_dg6_tc,Natural Gas,0
Fans,c_k_2126_tg1_tc,Electricity,366.55
Fans,c_k_2126_tg1_tc,Natural Gas,0
Fans,c_l_2126_tg2_tc,Electricity,330.03
Fans,c_l_2126_tg2_tc,Natural Gas,0
Fans,c_m_2126_tg3_tc,Electricity,326.73
Fans,c_m_2126_tg3_tc,Natural Gas,0
Fans,c_n_2126_tg4_tc,Electricity,307.74
Fans,c_n_2126_tg4_tc,Natural Gas,0
Fans,c_o_2126_tg5_tc,Electricity,311.11
Fans,c_o_2126_tg5_tc,Natural Gas,0
Fans,c_p_2126_tg6_tc,Electricity,332.92
Fans,c_p_2126_tg6_tc,Natural Gas,0
Fans,d_a_2126_dg_init_vav,Electricity,101.53
Fans,d_a_2126_dg_init_vav,Natural Gas,0
Fans,d_b_2126_dg0_vav,Electricity,123.22
