,"market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, triple glazing, two coatings, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, ccf","market for curtain wall, double skin facade"
124,177.72323300927357,213.30841924418777,176.87423330495247,204.02649002702705,171.4790101073719,203.7870360831286,234.21897662278116,178.71202495846455,144.72527315211764,804.2568211482151,181.63492449957312,143.87277321031024,479.07294011022583,313.90934053495243
125,173.7665239508273,210.21201549401545,172.9065455082247,200.18070844649435,167.69802039804992,200.03542127790237,252.25525860661534,174.8639706912133,140.235001386358,892.3150418119244,177.99484303082852,139.37147681703965,457.51836406535375,306.67679965687597
126,171.11474163772908,204.9263565988898,169.96246373799107,196.80715545650213,165.24592001972874,196.5463565571173,226.6326911262621,172.11922851509385,138.60419470644305,977.2936107219418,174.15246232175429,137.44716504905136,456.44390410664226,300.66851883161087
127,182.6849576911068,220.20633363593407,181.8762394404535,209.5067138827965,176.30160498189602,209.17980683064536,246.3440746929825,183.09348972949203,149.48992548050956,875.7918693875775,187.3895029364845,148.6778731554411,492.9739021596239,324.5222953931295
128,175.87126339171314,211.71062452585326,174.78982758244533,202.14660980370107,169.5506658550343,201.90029278936618,229.29778693664036,176.61340660973576,142.2305750261871,1113.307939896647,179.69499364644432,141.1446806922336,461.66782370857044,308.13926139008595
129,178.76328936575385,218.22058570021076,177.72179803502195,206.76787193136204,172.50227802644656,206.92870949052102,243.06283760850408,179.60412550322616,142.6279340460167,713.4470434628142,183.36773531107292,141.582147853375,465.2311609583585,309.3535780017585
130,165.24495960927027,200.35605668099956,164.57002755092654,190.78728271052762,160.65651336211334,190.09660674459823,236.7264942508864,165.84340088051377,134.51864975813248,1003.8564461205319,169.6997528908402,133.84093505988352,447.83912208639595,292.15281149486015
131,183.9236242738159,223.9483669402527,183.10340918249057,211.11119167928337,178.29649013983436,210.83847119205524,247.6779587724179,184.66617649331357,150.2879160088705,834.3871011862185,189.65835818293368,149.46432087952047,488.20355088679156,325.7320984221353
132,170.13127205193652,204.01167562678663,169.33916486000453,196.2760271020496,164.9061531686337,195.91557571514542,237.43858516424186,170.9488957395999,137.8577068648793,782.4760001987037,173.3872152065726,137.06233374633584,452.78350989398433,300.5919796564855
133,169.3637299848863,205.9320053845056,168.25500087591482,194.72835100940722,162.82662801781728,194.25959079974353,232.31268408449156,170.28491194599272,136.48859091275105,1103.0970145883357,174.09120687929084,135.3752863619403,443.59187394259754,298.3066504055763
134,184.3365847234021,220.84857953360148,183.54098901177048,211.80894904075285,178.39561221926576,211.46671724798284,247.40164349402846,185.2666412135332,150.42984001590003,895.332020963248,188.2319195849133,149.63096625408485,500.16389012981847,326.66475563221695
135,177.3207484638006,216.4933934516619,176.41329063588518,205.29665341087684,171.51962141630847,205.15914043053974,237.60507133740762,178.50928731992255,142.3712632169013,913.0235808840162,182.08041677115028,141.4600642145114,480.0751204977902,311.3680396853532
136,188.51901186311517,226.10687231646352,187.6509324936728,215.1742503875483,182.42911710103007,215.10691858483185,247.16075365363594,189.80995926378873,154.91944753176975,928.3313181924901,193.15091006180907,154.04778906643577,474.89049134064317,335.65156257184066
137,157.38755132764376,191.32461317212423,156.40114916285953,182.27960063517457,151.62697164024937,182.3603434952673,211.38829991588312,157.9701477038006,125.46905584902412,654.1094721399884,160.88328140394682,124.478584144351,411.6353063562076,275.8552416178843
138,176.78278037715052,212.64862925854268,175.83683876306364,202.68450257844302,170.14262638610515,202.66300629793045,247.9926479760824,177.34705481124843,143.92130510516796,769.5652634265258,180.82964910415907,142.97146245336057,470.5502681896186,313.060533073141
139,174.07242889230838,211.43931336190855,173.25239852024106,199.18978830915853,168.46823768557667,199.1651781109622,259.76669450532336,175.06230315437165,142.43976524026863,676.2383139376644,179.38946593845114,141.61635356415962,441.173968977172,310.5364701350257
140,167.42052618633102,200.18422347840308,166.49809389230384,192.71195891675063,162.17954349229643,192.20955425316836,235.0790654690809,168.13258763672448,135.41363410401067,903.3096107874036,170.48543027035862,134.48740110000776,427.4612170114631,294.3392231414034
141,182.41524652207605,220.38481491375902,181.22123492142765,209.59414767931796,175.44760260309874,209.81833185944097,242.83973904206678,183.2846783521428,147.2172189406123,738.0025498450719,186.50446848801172,146.01827146393933,479.7619293887147,321.33252190678473
142,189.63037028615668,220.49464178119123,188.52816044014423,213.83821673955308,184.0200035264549,213.58088960461907,247.42941040455045,190.09529522343672,159.0455524697987,966.8827353508988,191.98503609678417,157.93879720716671,462.9154732224143,340.36716904005317
143,189.0649714475953,229.935193823749,188.1075769153732,216.9195215568499,182.67010150413265,216.70326551059514,254.73149835428242,189.9405208118216,154.36426480240843,891.61140326202,194.7235403258859,153.40292265280678,508.07284935070163,336.4095971067673
144,189.8338544075762,228.6847100701786,188.82627227805398,217.9997175813702,183.16928492569056,218.0270386094695,252.87339676848723,190.64330392900965,154.3177383155616,769.9951871654612,194.15510704824501,153.3060026266669,512.1484681610771,334.39097961341236
145,178.8566802678785,216.43096150131993,178.05817301184564,206.31023972362235,173.52117703269934,205.6864540070702,239.1678615001344,179.5847688087888,144.85345322772272,940.0493705281563,183.43042836528227,144.05165504617955,468.79136283409224,313.65980738532096
146,171.36765601219565,207.80711908893497,170.48280741326724,198.00552566718787,165.85054374983432,197.07076571510206,261.9968544301898,172.09452192078408,137.8287409898064,1153.5887431302065,175.85098344092745,136.94024194975967,447.07784495653516,300.47308552971595
147,190.4050691650741,226.8911029297794,189.46282819367264,216.94015488266334,184.46061007580317,216.98279353793765,241.26217316476928,191.455877279143,156.90379770146066,760.8561717751713,194.41698676354247,155.95767169268552,479.6712767496791,338.665351863343
148,174.9732208562254,211.79794798026896,174.01159198644274,200.705527388912,169.5912682051973,200.5755993312458,232.438684751358,175.7298801100753,142.69309908141213,751.4901462125376,179.62276666372364,141.72750647154157,453.8156130251143,308.96329088323864
149,166.14884558074965,200.17302693298785,165.41147315500734,190.7745300712279,160.9909067120923,190.18685101246402,218.29778927212615,167.33410367888055,135.6107863441971,854.3990800230345,170.40456220100376,134.87037491395208,432.08921053969175,295.57187723996776
150,185.59196192403712,227.6175792816529,184.71523572181374,213.21350978137423,180.17324766418307,212.72282087706918,247.03161276593488,186.47155374847884,151.32529508861492,913.9835881914892,192.16261366197594,150.44495379740547,492.26189246830955,329.52763148021324
151,192.80747994495007,229.61834179677513,191.484586411441,219.50087934905434,185.2653476886491,219.74690038330132,276.75187202020663,193.7071738030894,157.4234181987608,766.4275775093745,196.4203067188063,156.09507715069662,481.4830255667172,340.5852861227128
152,188.81947499343005,225.81552806125686,187.98678305681665,216.76672528654365,182.83206330558545,216.1542326402747,259.8367624620187,189.72990472419835,154.00524578019844,963.3204683317301,192.81743077357666,153.16912027346493,497.924619902256,334.2614166571768
153,187.70590269526699,226.0034385031473,186.79289519283174,214.0440972601888,181.73792401985878,213.81646991919078,261.77075293546903,188.80152130003034,154.09632914098611,775.0780291165297,192.8863788235532,153.17955750262968,467.0238908451577,332.247409036784
154,193.31485127724218,227.4027016753816,192.43203797438363,219.14025825342966,187.65103675218407,218.73342113173115,259.88242619053636,193.97270724940358,161.14414556741426,1045.3341366634036,196.76667791372364,160.2576923904401,473.81609889529796,345.6537370337852
155,177.51849932730326,217.03703283862308,176.69085166351783,204.12486803300493,171.95129456734333,203.9345101701617,234.09550203821416,178.50307317295488,144.26845825841355,809.8031206970828,183.2421157074983,143.43739766973064,471.3144030545112,313.94115718112823
156,176.7170456959693,211.074710205024,175.8623526269825,202.5494065924256,171.60468190065603,202.49775674419564,239.08320897921544,177.79073369882346,145.14214947928423,828.8167797090299,180.15082849647953,144.28393372447087,472.72753267455533,315.476613450027
157,179.03311397757383,216.2022728058722,178.33159211166029,204.9293740384081,173.40980420632874,204.3668130939899,261.9032705970342,179.67446183861026,147.0512979863979,1074.0701376514362,184.2493220623137,146.34688334950337,470.2095577718815,318.55762061023177
158,174.9367775149733,214.5524459835303,174.13907606709347,201.46835286437397,169.4645993249035,201.25240352931883,245.27291433343936,175.55893047605733,142.16583250152593,845.2575168149057,180.7890974571129,141.36484403601725,469.81909426582723,308.2818614421079
159,172.6406751186791,211.98894568521254,171.85664082758845,199.2577065155459,167.25644491300437,198.77584372210725,236.96619246097535,173.771637746117,139.6043993015635,1100.6560971436031,178.4631895980089,138.81713097434712,458.4919629226063,304.74842972540574
160,176.49777636968483,212.79241738560316,175.63356572573852,202.06828098739575,171.15704599328234,201.79611350952956,250.92006504303214,177.3223891856573,144.99801341862832,920.0653688085412,181.13171780575695,144.13023992797085,466.51869969097737,313.56137060205464
161,179.49346397053148,213.43005277518094,178.63849927467842,205.486152605548,174.0543178433476,205.4133038919506,239.57206672233002,180.1099798402027,147.20104739195867,717.3270027384251,182.6468729921004,146.34255581768173,459.12248067686227,318.0815991184543
162,177.35533109850041,212.6339701503774,176.56612721225247,205.23415080671668,171.38596597914008,204.04902558005296,252.77419069953956,178.36522340338897,142.49436808585838,1368.2443693368996,180.85860335852948,141.70190114316685,466.5857001510318,312.0663340099994
163,189.1686981358697,224.99985769392123,188.4113289890762,215.80226328750996,183.11482019771574,215.60097892761723,252.9479382668394,190.48057304864906,155.75848247001082,808.0834411528866,193.11076842034274,154.99799071979967,477.7183201241858,338.16658910701665
